adapter_reuse,appearance_metric_source,appearance_reason,appearance_status,bidirectional_distance_p95_m,building_classification_availability,building_id,class2_ground_point_count,class6_building_point_count,classification_availability,classification_confidence,classification_reason,completed_at,correspondence_definition,correspondence_overlap_threshold,crop_buffer_m,crs,diagnostic_grid_cells,existing_diagnostic_provenance,existing_local_plane_rms_m,existing_m3c2_rms_m,existing_m3c2_valid,footprint_area_m2,ground_point_availability,has_lod22,icp_applied,input_pointcloud_provenance,input_provenance,largest_data_gap_m,largest_unsupported_roof_region,largest_unsupported_roof_region_reason,local_density_cv,lod2_axis,lod2_forced_zero,lod2_score,lod2_score_confidence,lpips,maximum_hole_radius_proxy_m,mixed_n_to_m_count,mixed_n_to_m_rate,nodata_frac,nodata_r,nodata_r_reason,normal_angular_error_median_deg,normal_angular_error_p90_deg,normal_estimation_enabled,normal_metric_reason,output_reference_roof_face_ratio,overseg_1_to_m_count,overseg_1_to_m_rate,point_to_plane_median_m,point_to_plane_p95_m,point_to_plane_reason,primary_metric_missing,processing_reason,processing_status,provisional,provisional_R_final,provisional_R_q40,provisional_R_q50,provisional_R_q60,provisional_R_stable,psnr,r_d,r_f,r_p,r_z,reconstructed_roof_plane_count,reconstruction_class6_count_raw,reconstruction_surface_count_voxel,reconstruction_to_reference_median_m,reconstruction_to_reference_p90_m,reconstruction_to_reference_p95_m,reference_class6_count_raw,reference_provenance,reference_roof_plane_count,reference_surface_count_voxel,reference_to_reconstruction_median_m,reference_to_reconstruction_p90_m,reference_to_reconstruction_p95_m,rf_nodata_frac,rf_pt_density,rf_rmse_lod22_existing,rf_roof_planes_existing,ridge_position_error_m,ridge_position_error_reason,rmsxy_m,rmsz_m,roof_distance_samples,roof_hausdorff_z_m,roof_plane_completeness,roof_plane_correctness,roof_plane_f1,roof_plane_match_count,roof_plane_quality,roof_points_per_m2,roofer_reason,roofer_status,roofer_success,roofprint_alignment_information,run_id,schema,scientific_status,ssim,surface_axis,surface_fscore_0p1m,surface_fscore_0p2m,surface_fscore_0p5m,surface_metric_available,surface_metric_reason,surface_precision_0p1m,surface_precision_0p2m,surface_precision_0p5m,surface_recall_0p1m,surface_recall_0p2m,surface_recall_0p5m,surface_reference_provenance,surface_reference_role,surface_sampling_capped,surface_score,surface_score_confidence,surface_thickness_p90_m,texture_coverage,underseg_n_to_1_count,underseg_n_to_1_rate,val3dity_lod22_valid,voxel_size_m,rank_recall_0p2,rank_reference_to_surface_p95_inverse,rank_precision_0p2,rank_surface_to_reference_p95_inverse,surface_proxy_metric_valid,completeness_score,reliability_score,surface_proxy_score,surface_proxy_R_q40,surface_proxy_R_q50,surface_proxy_R_q60,surface_proxy_R_stable,surface_proxy_R_v1,surface_thickness_used_in_reliability,surface_thickness_exclusion_reason,existing_view_count,qualitative_panel_status,selected_oracle_candidate
"e5_c001_8way roof parser, plane fit, and reference_distance",none,No existing baseline held-out rendering split or final texture-atlas evaluation protocol was found during N0.,not_evaluated,17.321419567,True,DEBY_LOD2_104583447,0,122,False,high_relative_stability,same non-RX label at q40/q50/q60,2026-07-28T15:04:14.887654+00:00,intersection/reference_area>=q and intersection/reconstruction_area>=q,0.5,1,EPSG:25832,7,docs/pointcloud_attributes_v1_3.csv,0.044789,0.119455,True,6.0821,False,True,False,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,1.359301291,17.408805243,maximum reference-to-reconstruction nearest distance; point-sampled radius proxy,0.892656923,known,False,0.847345133,high,NaN,17.408805243,0,0,0.5,NaN,field not present in canonical Roofer status,NaN,NaN,False,normal estimation disabled by config,1,0,0,NaN,NaN,normal estimation disabled by config,False,ok,success,True,R1,R1,R1,R1,True,NaN,0.037313433,0.611940299,0.907079646,0.787610619,1,122,120,0.127082498,0.194395273,0.218460381,115,phases/p0-audit/data/raw/lod2,1,112,0.457581573,2.344909775,17.321419567,0.5,36.666668,0.048511,1,NaN,explicit ridge correspondence evaluator not found,0.001,0.240188045,24,0.480534567,1,1,1,1,1,20.05886125,success,success,True,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,20260728_2327,jointbuildgs.tum2twin_rv1.result.v1,"R_v1 is a relative, provisional stratification for experiment selection. It is not a final scientific readiness or quality certification.",NaN,known,0.240740741,0.598637961,0.682352941,True,ok,0.25,0.908333333,1,0.232142857,0.446428571,0.517857143,"[""results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz""]",canonical raw_lidar fallback ALS AOI; aligned EPSG:25832 orthometric class-2/class-6 reference,False,0.324626866,high,0.116,NaN,0,0,True,0.1,0.410447761194,0.0373134328358,1,1,True,0.223880597015,1,0.611940298507,R1,R1,R1,True,R1,False,"0.2 m XY-cell Z-span proxy conflates roof slope, walls, and multiple surfaces; not a validated physical thickness metric",NaN,PASS,False
"e5_c001_8way roof parser, plane fit, and reference_distance",none,No existing baseline held-out rendering split or final texture-atlas evaluation protocol was found during N0.,not_evaluated,NaN,False,DEBY_LOD2_104583794,0,0,False,unknown_missing_metric,one or more required completeness/reliability metrics unavailable,2026-07-28T15:04:14.919990+00:00,intersection/reference_area>=q and intersection/reconstruction_area>=q,0.5,1,EPSG:25832,8,docs/pointcloud_attributes_v1_3.csv,NaN,NaN,False,6.387450001,False,False,False,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,NaN,NaN,maximum reference-to-reconstruction nearest distance; point-sampled radius proxy,NaN,known_forced_zero,True,0,forced_failure,NaN,NaN,0,0,1,NaN,field not present in canonical Roofer status,NaN,NaN,False,normal estimation disabled by config,0,0,0,NaN,NaN,normal estimation disabled by config,True,ok,success,True,RX,RX,RX,RX,False,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,126,phases/p0-audit/data/raw/lod2,1,122,NaN,NaN,NaN,1,0,NaN,0,NaN,explicit ridge correspondence evaluator not found,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,pointcloud_unusable_no_points,failure,False,existing mob_eval raw_dense clip; DIM ellipsoidal/local+604 history as-is; reference comparisons use v1.14_section_1.6_zeta_45.7_QA_45.760,20260728_2327,jointbuildgs.tum2twin_rv1.result.v1,"R_v1 is a relative, provisional stratification for experiment selection. It is not a final scientific readiness or quality certification.",NaN,unknown,NaN,NaN,NaN,False,class-6 reconstruction or reference points unavailable,NaN,NaN,NaN,NaN,NaN,NaN,"[""results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz""]",canonical raw_lidar fallback ALS AOI; aligned EPSG:25832 orthometric class-2/class-6 reference,False,NaN,unknown,NaN,NaN,0,NaN,True,0.1,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,RX,RX,RX,False,RX,False,"0.2 m XY-cell Z-span proxy conflates roof slope, walls, and multiple surfaces; not a validated physical thickness metric",NaN,not_in_panel,False
"e5_c001_8way roof parser, plane fit, and reference_distance",none,No existing baseline held-out rendering split or final texture-atlas evaluation protocol was found during N0.,not_evaluated,5.817139663,True,DEBY_LOD2_104586480,11865,3624,True,high_relative_stability,same non-RX label at q40/q50/q60,2026-07-28T15:04:14.962930+00:00,intersection/reference_area>=q and intersection/reconstruction_area>=q,0.5,1,EPSG:25832,14,docs/pointcloud_attributes_v1_3.csv,0.15163,0.091272,True,14.7708,True,False,False,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,2.39718585,3.01021594,maximum reference-to-reconstruction nearest distance; point-sampled radius proxy,2.428096472,known_forced_zero,True,0,forced_failure,NaN,3.01021594,0,0,0,NaN,field not present in canonical Roofer status,NaN,NaN,False,normal estimation disabled by config,0,0,0,NaN,NaN,normal estimation disabled by config,True,ok,success,True,RX,RX,RX,RX,False,NaN,0.358208955,0.28358209,NaN,NaN,0,3624,2503,0.575673519,5.225132053,5.817139663,175,phases/p0-audit/data/raw/lod2,1,175,0.900499861,2.674359448,2.817018591,0,978.620667,0,1,NaN,explicit ridge correspondence evaluator not found,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,245.348931681,missing_lod22_geometry,failure,True,existing mob_eval raw_dense clip; DIM ellipsoidal/local+604 history as-is; reference comparisons use v1.14_section_1.6_zeta_45.7_QA_45.760,20260728_2327,jointbuildgs.tum2twin_rv1.result.v1,"R_v1 is a relative, provisional stratification for experiment selection. It is not a final scientific readiness or quality certification.",NaN,known,0.030470914,0.143261969,0.403431909,True,ok,0.017578905,0.113463843,0.441470236,0.114285714,0.194285714,0.371428571,"[""results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz""]",canonical raw_lidar fallback ALS AOI; aligned EPSG:25832 orthometric class-2/class-6 reference,False,0.320895522,high,17.138,NaN,0,NaN,True,0.1,0.313432835821,0.432835820896,0.164179104478,0.0522388059701,True,0.373134328358,0.108208955224,0.240671641791,R3,R3,R3,True,R3,False,"0.2 m XY-cell Z-span proxy conflates roof slope, walls, and multiple surfaces; not a validated physical thickness metric",NaN,not_in_panel,False
"e5_c001_8way roof parser, plane fit, and reference_distance",none,No existing baseline held-out rendering split or final texture-atlas evaluation protocol was found during N0.,not_evaluated,NaN,False,DEBY_LOD2_107802038,0,0,False,unknown_missing_metric,one or more required completeness/reliability metrics unavailable,2026-07-28T15:04:15.004446+00:00,intersection/reference_area>=q and intersection/reconstruction_area>=q,0.5,1,EPSG:25832,388,docs/pointcloud_attributes_v1_3.csv,NaN,NaN,False,388.471650001,False,False,False,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,NaN,NaN,maximum reference-to-reconstruction nearest distance; point-sampled radius proxy,NaN,known_forced_zero,True,0,forced_failure,NaN,NaN,0,0,1,NaN,field not present in canonical Roofer status,NaN,NaN,False,normal estimation disabled by config,0,0,0,NaN,NaN,normal estimation disabled by config,True,ok,success,True,RX,RX,RX,RX,False,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,7010,phases/p0-audit/data/raw/lod2,1,6767,NaN,NaN,NaN,1,0,NaN,0,NaN,explicit ridge correspondence evaluator not found,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,pointcloud_unusable_no_points,failure,False,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,20260728_2327,jointbuildgs.tum2twin_rv1.result.v1,"R_v1 is a relative, provisional stratification for experiment selection. It is not a final scientific readiness or quality certification.",NaN,unknown,NaN,NaN,NaN,False,class-6 reconstruction or reference points unavailable,NaN,NaN,NaN,NaN,NaN,NaN,"[""results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz""]",canonical raw_lidar fallback ALS AOI; aligned EPSG:25832 orthometric class-2/class-6 reference,False,NaN,unknown,NaN,NaN,0,NaN,True,0.1,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,RX,RX,RX,False,RX,False,"0.2 m XY-cell Z-span proxy conflates roof slope, walls, and multiple surfaces; not a validated physical thickness metric",NaN,not_in_panel,False
"e5_c001_8way roof parser, plane fit, and reference_distance",none,No existing baseline held-out rendering split or final texture-atlas evaluation protocol was found during N0.,not_evaluated,NaN,False,DEBY_LOD2_107807336,0,0,False,unknown_missing_metric,one or more required completeness/reliability metrics unavailable,2026-07-28T15:04:15.034669+00:00,intersection/reference_area>=q and intersection/reconstruction_area>=q,0.5,1,EPSG:25832,100,docs/pointcloud_attributes_v1_3.csv,NaN,NaN,False,100.62585,False,False,False,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,NaN,NaN,maximum reference-to-reconstruction nearest distance; point-sampled radius proxy,NaN,known_forced_zero,True,0,forced_failure,NaN,NaN,0,0,1,NaN,field not present in canonical Roofer status,NaN,NaN,False,normal estimation disabled by config,0,0,0,NaN,NaN,normal estimation disabled by config,True,ok,success,True,RX,RX,RX,RX,False,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,1816,phases/p0-audit/data/raw/lod2,1,1759,NaN,NaN,NaN,1,0,NaN,0,NaN,explicit ridge correspondence evaluator not found,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,pointcloud_unusable_no_points,failure,False,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,20260728_2327,jointbuildgs.tum2twin_rv1.result.v1,"R_v1 is a relative, provisional stratification for experiment selection. It is not a final scientific readiness or quality certification.",NaN,unknown,NaN,NaN,NaN,False,class-6 reconstruction or reference points unavailable,NaN,NaN,NaN,NaN,NaN,NaN,"[""results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz""]",canonical raw_lidar fallback ALS AOI; aligned EPSG:25832 orthometric class-2/class-6 reference,False,NaN,unknown,NaN,NaN,0,NaN,True,0.1,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,RX,RX,RX,False,RX,False,"0.2 m XY-cell Z-span proxy conflates roof slope, walls, and multiple surfaces; not a validated physical thickness metric",NaN,not_in_panel,False
"e5_c001_8way roof parser, plane fit, and reference_distance",none,No existing baseline held-out rendering split or final texture-atlas evaluation protocol was found during N0.,not_evaluated,1.321536523,True,DEBY_LOD2_108246888,57,1293,True,low_threshold_sensitivity,q40/q50/q60 labels disagree,2026-07-28T15:04:15.064285+00:00,intersection/reference_area>=q and intersection/reconstruction_area>=q,0.5,1,EPSG:25832,15,docs/pointcloud_attributes_v1_3.csv,0.179162,0.341004,True,13.961250001,True,True,False,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,0.643816744,3.636069306,maximum reference-to-reconstruction nearest distance; point-sampled radius proxy,0.961335548,known,False,0.486725664,high,NaN,3.636069306,0,0,0.053571,NaN,field not present in canonical Roofer status,NaN,NaN,False,normal estimation disabled by config,0.5,0,0,NaN,NaN,normal estimation disabled by config,False,ok,success,True,RX,R0,R0,R1,False,NaN,0.731343284,0.417910448,0.247787611,0.725663717,2,1293,1237,0.384837628,1.155896827,1.321536523,273,phases/p0-audit/data/raw/lod2,4,267,0.163095064,0.62836454,0.763215761,0.053571,85.886795,0.616319,4,NaN,explicit ridge correspondence evaluator not found,1.486081035,0.319654164,56,1.000921462,0.25,0.5,0.333333333,1,0.333333333,92.613483746,success,success,True,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,20260728_2327,jointbuildgs.tum2twin_rv1.result.v1,"R_v1 is a relative, provisional stratification for experiment selection. It is not a final scientific readiness or quality certification.",NaN,known,0.071862547,0.364986701,0.71198511,True,ok,0.044462409,0.260307195,0.614389652,0.187265918,0.610486891,0.846441948,"[""results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz""]",canonical raw_lidar fallback ALS AOI; aligned EPSG:25832 orthometric class-2/class-6 reference,False,0.574626866,high,2.01,NaN,0,0,True,0.1,0.477611940299,0.626865671642,0.253731343284,0.410447761194,True,0.55223880597,0.332089552239,0.442164179104,R2,R2,R3,False,RX,False,"0.2 m XY-cell Z-span proxy conflates roof slope, walls, and multiple surfaces; not a validated physical thickness metric",NaN,not_in_panel,False
"e5_c001_8way roof parser, plane fit, and reference_distance",none,No existing baseline held-out rendering split or final texture-atlas evaluation protocol was found during N0.,not_evaluated,16.229084303,True,DEBY_LOD2_108247350,10,3,True,low_threshold_sensitivity,q40/q50/q60 labels disagree,2026-07-28T15:04:15.097248+00:00,intersection/reference_area>=q and intersection/reconstruction_area>=q,0.5,1,EPSG:25832,13,docs/pointcloud_attributes_v1_3.csv,NaN,NaN,False,12.13705,True,False,False,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,3.891657744,18.45038211,maximum reference-to-reconstruction nearest distance; point-sampled radius proxy,3.464101615,known_forced_zero,True,0,forced_failure,NaN,18.45038211,0,0,0.854167,NaN,field not present in canonical Roofer status,NaN,NaN,False,normal estimation disabled by config,0,0,0,NaN,NaN,normal estimation disabled by config,True,ok,success,True,RX,RX,RX,RX,False,NaN,0.059701493,0.014925373,NaN,NaN,0,3,3,0.331360831,0.413236141,0.423470555,168,phases/p0-audit/data/raw/lod2,1,163,15.867983489,16.142630737,16.229084303,0.854167,9.142858,NaN,0,NaN,explicit ridge correspondence evaluator not found,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0.247177032,pointcloud_unusable_no_points,failure,False,existing mob_eval raw_dense clip; DIM ellipsoidal/local+604 history as-is; reference comparisons use v1.14_section_1.6_zeta_45.7_QA_45.760,20260728_2327,jointbuildgs.tum2twin_rv1.result.v1,"R_v1 is a relative, provisional stratification for experiment selection. It is not a final scientific readiness or quality certification.",NaN,known,0,0,0.024242424,True,ok,0,0,1,0,0,0.012269939,"[""results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz""]",canonical raw_lidar fallback ALS AOI; aligned EPSG:25832 orthometric class-2/class-6 reference,False,0.037313433,high,0.009,NaN,0,NaN,True,0.1,0.0149253731343,0.0597014925373,0.0149253731343,0.932835820896,True,0.0373134328358,0.473880597015,0.255597014925,R1,R3,R3,False,RX,False,"0.2 m XY-cell Z-span proxy conflates roof slope, walls, and multiple surfaces; not a validated physical thickness metric",NaN,not_in_panel,False
"e5_c001_8way roof parser, plane fit, and reference_distance",none,No existing baseline held-out rendering split or final texture-atlas evaluation protocol was found during N0.,not_evaluated,NaN,False,DEBY_LOD2_108247351,11,0,False,unknown_missing_metric,one or more required completeness/reliability metrics unavailable,2026-07-28T15:04:15.127114+00:00,intersection/reference_area>=q and intersection/reconstruction_area>=q,0.5,1,EPSG:25832,64,docs/pointcloud_attributes_v1_3.csv,NaN,NaN,False,65.278499998,True,False,False,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,NaN,NaN,maximum reference-to-reconstruction nearest distance; point-sampled radius proxy,NaN,known_forced_zero,True,0,forced_failure,NaN,NaN,0,0,0.969231,NaN,field not present in canonical Roofer status,NaN,NaN,False,normal estimation disabled by config,0,0,0,NaN,NaN,normal estimation disabled by config,True,ok,success,True,RX,RX,RX,RX,False,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,1204,phases/p0-audit/data/raw/lod2,1,1176,NaN,NaN,NaN,0.969231,4.5,NaN,0,NaN,explicit ridge correspondence evaluator not found,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,pointcloud_unusable_no_points,failure,False,existing mob_eval raw_dense clip; DIM ellipsoidal/local+604 history as-is; reference comparisons use v1.14_section_1.6_zeta_45.7_QA_45.760,20260728_2327,jointbuildgs.tum2twin_rv1.result.v1,"R_v1 is a relative, provisional stratification for experiment selection. It is not a final scientific readiness or quality certification.",NaN,unknown,NaN,NaN,NaN,False,class-6 reconstruction or reference points unavailable,NaN,NaN,NaN,NaN,NaN,NaN,"[""results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz""]",canonical raw_lidar fallback ALS AOI; aligned EPSG:25832 orthometric class-2/class-6 reference,False,NaN,unknown,NaN,NaN,0,NaN,True,0.1,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,RX,RX,RX,False,RX,False,"0.2 m XY-cell Z-span proxy conflates roof slope, walls, and multiple surfaces; not a validated physical thickness metric",NaN,not_in_panel,False
"e5_c001_8way roof parser, plane fit, and reference_distance",none,No existing baseline held-out rendering split or final texture-atlas evaluation protocol was found during N0.,not_evaluated,7.812310798,True,DEBY_LOD2_108250120,71,336,True,high_relative_stability,same non-RX label at q40/q50/q60,2026-07-28T15:04:15.170129+00:00,intersection/reference_area>=q and intersection/reconstruction_area>=q,0.5,1,EPSG:25832,48,docs/pointcloud_attributes_v1_3.csv,0.094229,4.140696,True,46.818149997,True,True,False,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,2.69267525,8.845094686,maximum reference-to-reconstruction nearest distance; point-sampled radius proxy,2.439929548,known,False,0.057522124,high,NaN,8.845094686,0,0,0.691489,NaN,field not present in canonical Roofer status,NaN,NaN,False,normal estimation disabled by config,1,0,0,NaN,NaN,normal estimation disabled by config,False,ok,success,True,RX,R1,R3,R3,False,NaN,0.26119403,0.164179104,0.044247788,0.07079646,1,336,319,0.632613626,3.33882409,3.417043618,740,phases/p0-audit/data/raw/lod2,1,721,3.920931012,7.126640162,7.812310798,0.691489,25.862068,4.417711,3,NaN,explicit ridge correspondence evaluator not found,NaN,5.606377827,12,5.833494388,0,0,0,0,0,7.176703907,success,success,True,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,20260728_2327,jointbuildgs.tum2twin_rv1.result.v1,"R_v1 is a relative, provisional stratification for experiment selection. It is not a final scientific readiness or quality certification.",NaN,known,0.009615385,0.034396274,0.052065757,True,ok,0.015673981,0.150470219,0.423197492,0.006934813,0.019417476,0.027739251,"[""results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz""]",canonical raw_lidar fallback ALS AOI; aligned EPSG:25832 orthometric class-2/class-6 reference,False,0.212686567,high,0.206,NaN,0,0,True,0.1,0.171641791045,0.231343283582,0.186567164179,0.134328358209,True,0.201492537313,0.160447761194,0.180970149254,R3,R3,R3,True,R3,False,"0.2 m XY-cell Z-span proxy conflates roof slope, walls, and multiple surfaces; not a validated physical thickness metric",NaN,not_in_panel,False
"e5_c001_8way roof parser, plane fit, and reference_distance",none,No existing baseline held-out rendering split or final texture-atlas evaluation protocol was found during N0.,not_evaluated,1.598295967,True,DEBY_LOD2_108580335,342,153282,True,low_threshold_sensitivity,q40/q50/q60 labels disagree,2026-07-28T15:04:15.514414+00:00,intersection/reference_area>=q and intersection/reconstruction_area>=q,0.5,1,EPSG:25832,1020,docs/pointcloud_attributes_v1_3.csv,0.164154,0.397904,True,1020.87036999,True,True,False,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,0.089442719,14.834655372,maximum reference-to-reconstruction nearest distance; point-sampled radius proxy,0.497722923,known,False,0.382743363,high,NaN,14.834655372,0,0,0,NaN,field not present in canonical Roofer status,NaN,NaN,False,normal estimation disabled by config,2.666666667,0,0,NaN,NaN,normal estimation disabled by config,False,ok,success,True,R0,R0,R0,R0,True,NaN,0.694029851,0.78358209,0.278761062,0.486725664,24,153282,127803,0.18627936,0.846522297,1.598295967,11121,phases/p0-audit/data/raw/lod2,9,11121,0.100498756,0.206639783,0.336005952,0,145.979919,1.054082,58,NaN,explicit ridge correspondence evaluator not found,1.901052734,0.774063923,3023,4.663524284,0.666666667,0.25,0.363636364,6,0.363636364,150.148348415,success,success,True,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,20260728_2327,jointbuildgs.tum2twin_rv1.result.v1,"R_v1 is a relative, provisional stratification for experiment selection. It is not a final scientific readiness or quality certification.",NaN,known,0.122994534,0.689736754,0.892268576,True,ok,0.070334812,0.560894502,0.822797587,0.489434403,0.895423073,0.974552648,"[""results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz""]",canonical raw_lidar fallback ALS AOI; aligned EPSG:25832 orthometric class-2/class-6 reference,False,0.73880597,high,0.9,NaN,0,0,True,0.1,0.776119402985,0.850746268657,0.679104477612,0.365671641791,True,0.813432835821,0.522388059701,0.667910447761,R0,R0,R2,False,RX,False,"0.2 m XY-cell Z-span proxy conflates roof slope, walls, and multiple surfaces; not a validated physical thickness metric",NaN,not_in_panel,False
