path,scope,phase,family_id,lineage_key,artifact_kind,document_type,extension,bytes,git_state,proposed_storage_class,version,date,proposed_status,status_source,canonical_for,status_note,run_ids,inbound_reference_count,outbound_reference_count,broken_markdown_reference_count,git_first_commit,git_last_commit,scan_truncated
docs/archive/README.md,docs,repo,readme,readme,document,guide,.md,738,tracked,A,,,superseded,archive_path,,Path is already under an archive directory.,,1,4,0,3fba2eaf9dd34b275101d550f58413ce6a687aed,388819155cc65983dc6de1c6f49fab99a529f3a1,no
docs/archive/boundary_map/v1/figs/boundary_map_ladder.png,docs,repo,boundary_map,boundary_map_ladder,figure,figure,.png,495576,tracked,B-candidate,v1,,superseded,reviewed_family_map,,v1 visualization is historical.,,1,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v1/tables/boundary_map_boundary_cases.csv,docs,repo,boundary_map,boundary_map_boundary_cases,table,evidence_table,.csv,2960,tracked,A,v1,,superseded,reviewed_family_map,,v1 boundary-case table was replaced by v2.,,1,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v1/tables/boundary_map_confusion.csv,docs,repo,boundary_map,boundary_map_confusion,table,evidence_table,.csv,3775,tracked,A,v1,,superseded,reviewed_family_map,,v1 validation snapshot was replaced by v2.,,1,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v1/tables/boundary_map_ladder.csv,docs,repo,boundary_map,boundary_map_ladder,table,evidence_table,.csv,31207,tracked,A,v1,,superseded,reviewed_family_map,,v1 assignment ladder was replaced by v2.,,1,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v1/tables/boundary_map_metrics.csv,docs,repo,boundary_map,boundary_map_metrics,table,evidence_table,.csv,193226,tracked,A,v1,,superseded,reviewed_family_map,,v1 metric snapshot was replaced by the canonical-population v2 measurement.,20260716_boundary_map,2,4,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v2/figs/boundary_map_v2_ladder.png,docs,repo,boundary_map,boundary_map_ladder,figure,figure,.png,488658,tracked,B-candidate,v2,,superseded,reviewed_family_map,,v2 visualization is historical.,,1,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v2/reports/W_boundary_map_v2_summary_20260718.md,docs,repo,boundary_map,boundary_map_summary,document,report,.md,2056,tracked,A,v2,20260718,superseded,reviewed_family_map,,v2 narrative describes an older rule and assignment snapshot.,,1,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v2/tables/boundary_map_v2_conditional_targets.csv,docs,repo,boundary_map,boundary_map_conditional_targets,table,evidence_table,.csv,9126,tracked,A,v2,,superseded,reviewed_family_map,,v2 conditional target snapshot was replaced by v3.,,1,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v2/tables/boundary_map_v2_confusion.csv,docs,repo,boundary_map,boundary_map_confusion,table,evidence_table,.csv,3544,tracked,A,v2,,superseded,reviewed_family_map,,v2 validation snapshot was replaced by v3.,,1,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v2/tables/boundary_map_v2_ladder.csv,docs,repo,boundary_map,boundary_map_ladder,table,evidence_table,.csv,60923,tracked,A,v2,,superseded,reviewed_family_map,,v2 assignment ladder was replaced by v3.,,3,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v2/tables/boundary_map_v2_metrics.csv,docs,repo,boundary_map,boundary_map_metrics,table,evidence_table,.csv,978908,tracked,A,v2,,superseded,reviewed_family_map,,v2 metric snapshot was remeasured in v3.,20260716_C,2,9,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v3/figs/boundary_map_v3_map.png,docs,repo,boundary_map,boundary_map_map,figure,figure,.png,432362,tracked,B-candidate,v3,,superseded,reviewed_family_map,,v3 visualization predates the neutral v4 cell census.,,1,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v3/reports/W_boundary_map_v3_summary_20260719.md,docs,repo,boundary_map,boundary_map_summary,document,report,.md,4099,tracked,A,v3,20260719,superseded,reviewed_family_map,,v3 narrative uses the earlier tier assignment; v4 introduced the neutral cell census.,,1,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v3/tables/boundary_map_v3_ladder.csv,docs,repo,boundary_map,boundary_map_ladder,table,evidence_table,.csv,79778,tracked,A,v3,,superseded,reviewed_family_map,,v3 tier ladder was replaced by the v4 neutral cell ladder.,,2,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v4/tables/boundary_map_v4_ladder.csv,docs,repo,boundary_map,boundary_map_ladder,table,evidence_table,.csv,118197,tracked,A,v4,,superseded,reviewed_family_map,,v4.1 mechanically updates the fixed nine formerly unmeasurable rows.,20260719_boundary_map_v3;20260720_anchor_census;w2_1_roofer_default_20260612_152729,2,5,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/boundary_map/v4/tables/boundary_map_v4_targets.csv,docs,repo,boundary_map,boundary_map_targets,table,evidence_table,.csv,9075,tracked,A,v4,,superseded,reviewed_family_map,,This 64-row v4 snapshot predates the nine-row supplement; filter the current v4.1 ladder instead.,,1,0,0,69c69e694b53e702adac292e77416b3c987bad46,69c69e694b53e702adac292e77416b3c987bad46,no
docs/archive/bucket_crosswalk/v1/reports/bucket_crosswalk.md,docs,repo,bucket_crosswalk,bucket_crosswalk,document,document,.md,3321,tracked,A,v1,,superseded_candidate,lower_filename_version,,A higher filename version exists in a comparable path group; successor must be reviewed.,,0,2,0,3fba2eaf9dd34b275101d550f58413ce6a687aed,3fba2eaf9dd34b275101d550f58413ce6a687aed,no
