term,implemented,function_or_class,formula_as_implemented,sign,target_class_or_mask,coordinate_convention,normalization,weighting,confidence_weighting,detach_no_detach,reduction,logged_scalar,possible_failure_mode,code_reference
L_mutual_total,yes,src/stage2/loss/mutual.py:l_mutual,w_vert*mean(p_wall*(n.g)^2) + w_slope*mean(p_roof*relu(tau-(n.g)^2)^2) + w_horiz*mean(p_terrain*(1-|n.g|)^2) + w_height*mean(p_roof*relu(height_th-height)^2 + p_terrain*relu(height-height_th)^2),added positively to L_total; minimizing pushes each class-probability-weighted geometry error down,"softmax semantic probabilities: roof=1, wall=2, terrain/ground=3; background ignored implicitly","normals and centers in world frame; e_gravity from gravity.json; phase2 e_gravity=[0,1,0] and height=-Y",normals are L2-normalized; no loss normalization by class mass beyond mean over all primitives,global w_mutual in train config; internal term weights exist as function args default 1.0 but are not exposed by train.py config,none,mode=full default: no detach; sem2geo detaches p_c; geo2sem detaches n and c,"mean over all primitives for each term, then weighted sum",loss/mutual,Proxy loss can improve primitive normals/semantics while final rendered evidence support or ground geometry degrades; no class balancing or confidence gating.,"src/stage2/loss/mutual.py:34, src/stage2/train.py:246-260"
L_mutual_wall / wall verticality,yes,src/stage2/loss/mutual.py:l_mutual,mean(p_wall * (n.g)^2),positive; minimizes |n.g| toward 0,"p_wall = softmax(sem_logits)[:,2]","wall normals should be perpendicular to gravity; with e_g=[0,1,0], wall normals should have near-zero Y component",normal L2 normalization only,"w_vert default 1.0, not config-exposed",none,full no detach by default,mean over all primitives,loss/mutual_vert,Can over-regularize real slanted walls or ambiguous near-wall primitives; semantic probability mass controls strength but no confidence gate.,"src/stage2/loss/mutual.py:79,95"
L_mutual_roof / roof slope-or-horizontal prior,yes,src/stage2/loss/mutual.py:l_mutual,mean(p_roof * relu(tau - (n.g)^2)^2),positive; penalizes roof normals with |n.g| < sqrt(tau),"p_roof = softmax(sem_logits)[:,1]","with e_g=[0,1,0], roof normals are pushed to have sufficiently large absolute Y component",normal L2 normalization only,"w_slope default 1.0, not config-exposed; tau from config",none,full no detach by default,mean over all primitives,loss/mutual_slope,"Encourages roof normals away from wall-like vertical surfaces but does not encode roof partition/grouping; code comment says roof should NOT be flat, while formula and docs enforce non-wall-like/horizontal-enough normals.","src/stage2/loss/mutual.py:81,96"
L_mutual_ground / terrain horizontality,yes,src/stage2/loss/mutual.py:l_mutual,mean(p_terrain * (1 - |n.g|)^2),positive; minimizes |n.g| toward 1,"p_terrain = softmax(sem_logits)[:,3]","terrain/ground normals should be parallel or anti-parallel to gravity; with e_g=[0,1,0], normal Y magnitude should be near 1",normal L2 normalization only,"w_horiz default 1.0, not config-exposed",none,full no detach by default,mean over all primitives,loss/mutual_horiz,"Highest FC-S4 risk: no confidence or support gating, so uncertain rendered ground/terrain semantics can still push geometry/semantics; FC-S3 B104 shows ground-y drift sensitivity.","src/stage2/loss/mutual.py:80,97"
L_mutual_height_relation,yes,src/stage2/loss/mutual.py:l_mutual,"mean(p_roof*relu(height_th-height)^2 + p_terrain*relu(height-height_th)^2), where height = -sign(e_g[axis])*center[axis]",positive; pushes roof above threshold and terrain below threshold,p_roof and p_terrain only; wall ignored,"axis=max(|e_g|); phase2 e_g=[0,1,0] gives height=-center_y; roof should have y<-0.15 and terrain y>=-0.15",no per-building height normalization; fixed world threshold,"w_height default 1.0, not config-exposed; height_th from config",none,full no detach by default,mean over all primitives,loss/mutual_height,Fixed global threshold can mis-handle buildings with different vertical offsets or terrain distributions; combines roof and terrain height effects so terrain removal cannot be configured independently.,src/stage2/loss/mutual.py:86-98
roof_wall_relation,no,none in active src/stage2/loss/mutual.py,not implemented,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,not logged,Cannot directly optimize roof-wall adjacency or grouping consistency; FC-S3 roof cases remain unresolved.,absence confirmed by src/stage2/loss/mutual.py and train.py scalar tags
ground_wall_relation,no,none in active src/stage2/loss/mutual.py,not implemented,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,not logged,Cannot directly stabilize wall-ground closure; B104-like ground closure remains exposed to evidence distribution drift.,absence confirmed by src/stage2/loss/mutual.py and train.py scalar tags
semantic confidence weighting,no,none,"not implemented; uses softmax probabilities as both class mask and gradient carrier, not external confidence",n/a,n/a,n/a,n/a,n/a,absent,n/a,n/a,not logged,Uncertain classes can still participate; no way to suppress low-confidence ground/terrain term.,src/stage2/loss/mutual.py:57-61
normal/depth weighting,no,none inside L_mutual,not implemented; L_depth and L_normal are separate rendered losses in train.py,n/a,n/a,n/a,n/a,n/a,absent,n/a,n/a,not logged,Mutual loss has no knowledge of depth/normal reliability or rendered evidence support.,"src/stage2/train.py:208-224,240-260"
masks or thresholds,partial,src/stage2/loss/mutual.py:l_mutual,"tau for roof slope threshold; height_th for roof/terrain height threshold; no primitive masks, no class confidence threshold, no support threshold",threshold penalties are positive,soft probabilities only,depends on e_gravity and centers,none beyond normal L2 normalization,tau and height_th config-exposed,none,mode-dependent only,mean over all primitives,"loss/mutual_slope, loss/mutual_height",B104-like ground failures cannot be gated by support/confidence; roof threshold is global and not roof-type aware.,"src/stage2/loss/mutual.py:39-45,81,91-98"
