model_id,role,wave,arm,run,setting,lineage,building_id,cityjson_path,cityjson_sha256,status_path,cityjson_crs,xy_alignment,xy_overlap_ratio,z_shift_to_reference_m,z_shift_rule,z_shift_candidate_median_rms_json,val3dity_report,val3dity_exit_code,learning_runs_started,inventory_status
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_108247349,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,https://www.opengis.net/def/crs/EPSG/0/25832,no_roof_geometry,,0.000000000,candidate shift with minimum median per-building roof RMS,"{""0.000"":0.2511830039931801}",phases/p2-gsjso/runs/20260716_qs_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,0,0,present
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_108247350,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,https://www.opengis.net/def/crs/EPSG/0/25832,aligned,1.000000000,0.000000000,candidate shift with minimum median per-building roof RMS,"{""0.000"":0.2511830039931801}",phases/p2-gsjso/runs/20260716_qs_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,0,0,present
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_108247351,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,https://www.opengis.net/def/crs/EPSG/0/25832,aligned,1.000000000,0.000000000,candidate shift with minimum median per-building roof RMS,"{""0.000"":0.2511830039931801}",phases/p2-gsjso/runs/20260716_qs_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,0,0,present
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907184,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,https://www.opengis.net/def/crs/EPSG/0/25832,aligned,1.000000000,0.000000000,candidate shift with minimum median per-building roof RMS,"{""0.000"":0.2511830039931801}",phases/p2-gsjso/runs/20260716_qs_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,0,0,present
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907185,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,https://www.opengis.net/def/crs/EPSG/0/25832,aligned,1.000000000,0.000000000,candidate shift with minimum median per-building roof RMS,"{""0.000"":0.2511830039931801}",phases/p2-gsjso/runs/20260716_qs_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,0,0,present
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907186,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,https://www.opengis.net/def/crs/EPSG/0/25832,aligned,1.000000000,0.000000000,candidate shift with minimum median per-building roof RMS,"{""0.000"":0.2511830039931801}",phases/p2-gsjso/runs/20260716_qs_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,0,0,present
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907188,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,https://www.opengis.net/def/crs/EPSG/0/25832,aligned,1.000000000,0.000000000,candidate shift with minimum median per-building roof RMS,"{""0.000"":0.2511830039931801}",phases/p2-gsjso/runs/20260716_qs_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,0,0,present
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907194,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,https://www.opengis.net/def/crs/EPSG/0/25832,no_roof_geometry,,0.000000000,candidate shift with minimum median per-building roof RMS,"{""0.000"":0.2511830039931801}",phases/p2-gsjso/runs/20260716_qs_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,0,0,present
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907195,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,https://www.opengis.net/def/crs/EPSG/0/25832,aligned,1.000000000,0.000000000,candidate shift with minimum median per-building roof RMS,"{""0.000"":0.2511830039931801}",phases/p2-gsjso/runs/20260716_qs_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,0,0,present
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907198,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,https://www.opengis.net/def/crs/EPSG/0/25832,aligned,1.000000000,0.000000000,candidate shift with minimum median per-building roof RMS,"{""0.000"":0.2511830039931801}",phases/p2-gsjso/runs/20260716_qs_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,0,0,present
